question,step,k,acc_mean,acc_std,n_full,n_partial,n_wrong,score_mean,score_var,score_std,iou_mean,iou_max,zero_acc_var,zero_score_var
"What color is the helmet worn by the climber who repeatedly instructs the group, points out routes, and demonstrates equipment during the preparation scenes?",129,16,1.0,0.0,16,0,0,1.6889,0.02936,0.1713,0.1889,0.5008,1,0
Which bicycle brand does the instructor first attach a pedal to and later brush the chain and gears of during the demonstration?,7,16,1.0,0.0,16,0,0,1.8117,0.02578,0.1606,0.3117,0.566,1,0
"After the screen shows 'So let's pick up the pace!', which exact phrase appears when the tempo increases even more during the subsequent drumming segment?",56,16,1.0,0.0,16,0,0,1.6268,0.02556,0.1599,0.1268,0.4333,1,0
"After the person finishes unfolding and laying the white fitted sheet flat, what tool do they employ in the next scene to smooth the fabric?",98,16,1.0,0.0,16,0,0,1.6679,0.02538,0.1593,0.1679,0.6433,1,0
"Across the pliers procedure, the desk conversation, and the surprised reaction, what pop-culture franchise name is printed on the black T-shirt worn by the seated person?",97,16,1.0,0.0,16,0,0,1.935,0.02468,0.1571,0.435,0.7053,1,0
Which German skier appears immediately after Marie Bochet’s 1:53.6 slalom run and ends her own descent with a dramatic dive across the finish line?,71,16,1.0,0.0,16,0,0,1.8043,0.02371,0.154,0.3043,0.5301,1,0
"After the fencing demonstration featuring two geared participants, which competitive activity do the group members resume playing?",93,16,1.0,0.0,16,0,0,1.6627,0.02166,0.1472,0.1627,0.4377,1,0
"When the white container labeled ""1.5 kg Sponge Cake"" is tipped to pour its contents, what lesser weight is shown to specify the actual amount of cake mix entering the metallic bowl?",128,16,1.0,0.0,16,0,0,2.1918,0.02088,0.1445,0.6918,0.927,1,0
"What green vehicle, seen earlier cutting grass under different operators, is finally driven into the garage after the man finishes lining a trash can with a bag?",115,16,1.0,0.0,16,0,0,1.6759,0.01966,0.1402,0.1759,0.5348,1,0
"Immediately after the presenter finishes his seated workbench introduction, which machine is displayed against a plain white background?",46,16,1.0,0.0,16,0,0,1.5808,0.01916,0.1384,0.0808,0.4348,1,0
"Which foundational knitting technique, first shown as on-screen text during the static materials display, is later demonstrated when the hands place slip knots and loops onto the needle?",98,16,1.0,0.0,16,0,0,1.9818,0.01885,0.1373,0.4818,0.7204,1,0
"After the razor is fully assembled, which grooming product does the on-screen text tell viewers to apply to their face?",59,16,1.0,0.0,16,0,0,1.6476,0.01724,0.1313,0.1476,0.4167,1,0
"After the handler first secures the horse with a safety knot, which word is displayed on the back of his orange-and-black jacket when he later washes the horse with a hose?",127,16,1.0,0.0,16,0,0,1.6603,0.0148,0.1216,0.1603,0.4554,1,0
"After the calm sunset scenes of the ocean, what sport dominates the beach once people arrive, setting up nets and energetically diving and spiking the ball?",129,16,1.0,0.0,16,0,0,2.2772,0.0139,0.1179,0.7772,0.9529,1,0
"After the child’s toy-camera play and a subsequent hand-gesture game, once the adult leaves down the hallway, what animal approaches the pajama-clad child?",122,16,1.0,0.0,16,0,0,1.6996,0.01324,0.115,0.1996,0.372,1,0
"During the tutorial that opens from complete darkness to the instructor, what educational object displaying musical notations and numbers remains behind him while he demonstrates various harmonica techniques?",89,16,1.0,0.0,16,0,0,1.6181,0.01309,0.1144,0.1181,0.2934,1,0
What words appear on the screen during the fade-out that directly follows the solver stopping the timer at 12.12 seconds and displaying the solved Rubik's Cube?,114,16,1.0,0.0,16,0,0,1.5747,0.01075,0.1037,0.0747,0.325,1,0
"Following the 'Lunch Break' logo's fade into the live kitchen segment, which dish do the chef and reporter demonstrate preparing?",130,16,1.0,0.0,16,0,0,1.7096,0.00818,0.0904,0.2096,0.4935,1,0
"While a choir sings behind them, what non-traditional items do the Manchester United players roll down the bowling lanes instead of regular bowling balls?",112,16,1.0,0.0,16,0,0,1.6017,0.00699,0.0836,0.1017,0.3029,1,0
"Following the studio chat featuring football helmets on the table, which object are several people seen holding during the subsequent outdoor interviews?",129,16,1.0,0.0,16,0,0,1.6884,0.00479,0.0692,0.1884,0.4315,1,0
"After the cap-wearing man finishes explaining beside the event poster and moves under the beer-branded canopy, in what strength contest does he repeatedly compete against the man in the white shirt?",81,16,1.0,0.0,16,0,0,1.6592,0.00457,0.0676,0.1592,0.2817,1,0
"After the camera lingers on a water bottle inside a vehicle, what outdoor activity does it show next?",133,16,1.0,0.0,16,0,0,1.5773,0.00338,0.0582,0.0773,0.1571,1,0
The video shows the “C2C” step first in slow motion and later again at twice the speed; under which numbered step is the slow-motion version introduced?,131,16,1.0,0.0,16,0,0,1.6743,0.0024,0.049,0.1743,0.2766,1,0
"Before the person later pours cooking oil into a frying pan, what device do they operate by pressing its home button with their foot while seated on the yoga mat?",2,16,1.0,0.0,16,0,0,1.5109,0.00178,0.0422,0.0109,0.1744,1,0
"After the video opens with two red knitted bows, what black object featuring ear-like pom-poms is later displayed wearing one matching red bow?",108,16,1.0,0.0,16,0,0,1.5068,0.00069,0.0263,0.0068,0.1087,1,0
"After initially browsing the store in her yellow jacket and sunglasses, what discount percentage does the Flash Sale sign display beside the mannequin she later playfully adjusts?",61,16,1.0,0.0,16,0,0,1.5,0.0,0.0,0.0,0.0,1,1
"After the artist finishes blending deeper blue shades around the eagle, which substance is spread over the dried canvas before new oil paint details are added near the bird’s eye?",26,16,0.9688,0.121,15,1,0,1.8825,0.12627,0.3553,0.4138,0.8584,0,0
"After the caption noting Keith Moon sang backing vocals on “All You Need Is Love,” what subsequent fact about his collaboration with John Lennon does the video show?",66,16,0.9688,0.121,15,1,0,1.7673,0.11056,0.3325,0.2986,0.9091,0,0
Which two team names are displayed as opponents on the scoreboards during the sweeping-and-sliding curling action inside the rink?,77,16,0.9688,0.121,15,1,0,1.859,0.0874,0.2956,0.4215,0.8128,0,0
"Which individual, introduced as the senior captain, is interviewed first amid the gym’s fencing bustle and later while seated indoors wearing a gray “NYU Athletics” shirt?",52,16,0.9688,0.121,15,1,0,1.8175,0.07803,0.2793,0.3488,0.8303,0,0
"During the cleaning demonstrations by both the woman on the window panes and the man on the windowsill, what color is the cloth they each use to wipe the surfaces?",19,16,0.9688,0.121,15,1,0,2.0633,0.06857,0.2619,0.5945,0.9808,0,0
What distinctive symbol is visible on the man’s headwear when he looks into the camera in the picture-lined hallway and later appears in close-up just before beginning his BMX run at Tony Hawk’s ramp?,42,16,0.9688,0.121,15,1,0,2.0091,0.06338,0.2518,0.5403,0.9202,0,0
"Throughout the different slackline and acrobatic sequences inside the abandoned factory, what object placed on the floor do the performers consistently land on for safety after their flips and jumps?",110,16,0.9688,0.121,15,1,0,1.9807,0.06246,0.2499,0.512,0.8485,0,0
"While a dog plays with a bottle beside a wooden structure, what activity is the person shown elsewhere in the forest performing?",109,16,0.9688,0.121,15,1,0,1.6244,0.05775,0.2403,0.1557,0.616,0,0
What machine does the worker use first to compact the “sub base MOT type 1” layer and later to compact the sand before mixing cement?,130,16,0.9688,0.121,15,1,0,2.0414,0.05755,0.2399,0.5727,0.9241,0,0
"After the red liquid spill turns the white sneaker pink, which brand’s logo is visible on the cleaned shoe displayed beside the cleaning tools and the “24 HRS DRYTIME” clock?",68,16,0.9688,0.121,15,1,0,1.5359,0.05352,0.2313,0.0984,0.3575,0,0
"What phrase is shown in the text overlays that appear after the tranquil, empty beach scene and before the first-person footage of hands adjusting the windsurfing rig?",131,16,0.9688,0.121,15,1,0,1.8383,0.05162,0.2272,0.3695,1.0,0,0
"After the segment where the woman, wearing an orange top, detangles her curly hair with a wide-toothed comb, which tool does she subsequently use to dry her high ponytail?",106,16,0.9688,0.121,15,1,0,1.811,0.05087,0.2256,0.3422,0.7333,0,0
Which two distinct places does the woman interact with the dog—first while seated and later while demonstrating walking—and what item does she hold in both situations?,36,16,0.9688,0.121,15,1,0,1.9418,0.04926,0.2219,0.4731,0.7924,0,0
"After the stylized “Texas Video Tape” logo finishes displaying, what nighttime recreational activity at Angel Fire, New Mexico does the video show next?",62,16,0.9688,0.121,15,1,0,1.6224,0.03767,0.1941,0.1536,0.4783,0,0
"During the haircut where a stylist in a white sleeveless top works while an observer stands beside her, what pattern is shown on the client’s pink cape?",120,16,0.9688,0.121,15,1,0,1.6383,0.03438,0.1854,0.1695,0.329,0,0
"After the wedding dress passes its initial post-wash inspection, what fabric-care process do two women later carry out together to remove its wrinkles?",132,16,0.9688,0.121,15,1,0,1.9391,0.03031,0.1741,0.4703,0.6432,0,0
The striped safety mats visible during both the indoor parkour routines and the subsequent slackline competition share which two dominant colors?,4,16,0.9688,0.121,15,1,0,1.6592,0.03021,0.1738,0.1905,0.4247,0,0
"Across the entire tutorial, from the opening introduction to the final nighttime reveal of the glowing pumpkin, what distinctive accessory does the woman continually wear in her hair?",122,16,0.9688,0.121,15,1,0,2.3756,0.02818,0.1679,0.9069,0.9982,0,0
"After the young man pedals with the helmeted child on a bicycle at the beginning, which activity does the same child later attempt on the street while being coached by an adult?",117,16,0.9688,0.121,15,1,0,2.1367,0.02472,0.1572,0.6679,0.9176,0,0
"What kick technique, identified by the next on-screen caption, is shown immediately after the ""Jump Kick (Slow Motion)"" segment ends?",119,16,0.9688,0.121,15,1,0,1.6363,0.0215,0.1466,0.1676,0.4286,0,0
"Which symbol, first shown as a pink sketch with wings bearing two dates, is later tattooed onto the client’s upper back by the artist?",105,16,0.9688,0.121,15,1,0,2.0764,0.02036,0.1427,0.6077,0.949,0,0
"After the swimmers complete their race and the audience cheers, what synchronized athletic contest involving coordinated dives is shown next?",75,16,0.9688,0.121,15,1,0,1.576,0.01924,0.1387,0.1072,0.3163,0,0
"After completing push-ups on a plain blue mat, what patterned design does the mat feature when the person performs their later leg exercises?",19,16,0.9688,0.121,15,1,0,1.4837,0.01732,0.1316,0.015,0.1562,0,0
"What piece of equipment, standing on a tripod to the performer’s right, shines light on her while she switches between singing and playing the saxophone?",98,16,0.9688,0.121,15,1,0,1.4795,0.01566,0.1252,0.0107,0.0455,0,0
What exact three-word instruction is projected on the bathroom wall while the woman brushes her teeth and later reappears in bold on a black screen at the video’s end?,45,16,0.9375,0.2421,15,0,1,1.8942,0.31019,0.557,0.4879,0.9281,0,0
"After the scenes showing children on the restaurant’s indoor playground, what fruit-shaped piñata becomes the focus of the outdoor game?",25,16,0.9375,0.2421,15,0,1,1.7488,0.27268,0.5222,0.3426,0.8162,0,0
Which academic discipline do both interviewees Sarah Clemens and Brice Lostraczo mention studying?,95,16,0.9375,0.2421,15,0,1,2.0336,0.2697,0.5193,0.6273,1.0,0,0
"After the duet, the camera pans up a snowy neoclassical facade with bold lettering, and later the same building’s columns frame the woman in a white fur coat. What famed theater is this?",11,16,0.9375,0.2421,15,0,1,1.6605,0.25497,0.5049,0.2542,0.7209,0,0
"What type of machine, marked with a 'Super Cash' sticker, is repeatedly shown alone and later approached by a hand holding a brown paper bag in the convenience store scenes?",61,16,0.9375,0.2421,15,0,1,1.9253,0.20601,0.4539,0.4878,0.9692,0,0
"What product, first seen being poured from its bottle into the running sink, does the woman later hold up while talking to the camera?",77,16,0.9375,0.2421,15,0,1,1.8059,0.19276,0.439,0.3684,0.9956,0,0
What bar height appears on a red screen as a 'miss' during one athlete's unsuccessful jump and is later shown with text indicating a made second attempt?,44,16,0.9375,0.2421,15,0,1,1.9758,0.18333,0.4282,0.5383,0.9324,0,0
"Before the hands later mount the posters of “The Great Wave off Kanagawa,” Uncle Sam, and “We Can Do It!”, which poster do they first carefully smooth and tape onto the white wall?",108,16,0.9375,0.2421,15,0,1,1.9902,0.1728,0.4157,0.5527,0.8333,0,0
"After the early gym scenes where the instructor leads in black pants, what color pants does he wear during the later aerobics sessions?",116,16,0.9375,0.2421,15,0,1,1.908,0.16733,0.4091,0.4705,0.7583,0,0
"What landmark tower is first seen behind the red ""RIDE"" sign over the city skyline and later shown glowing red in close-up?",41,16,0.9375,0.2421,15,0,1,1.7853,0.1663,0.4078,0.3478,0.9254,0,0
What word appears on the microphone both during the older man's street interview and later when the formally dressed reporter speaks outside the glass-walled sumo dojo?,94,16,0.9375,0.2421,15,0,1,2.0354,0.16328,0.4041,0.5979,0.9706,0,0
What tool is Casey Lavere shown methodically using to create the fishing hole that the camouflage-clad man later stands beside?,73,16,0.9375,0.2421,15,0,1,1.9795,0.16207,0.4026,0.542,0.85,0,0
"During Step 3 of the disc-catching training, which single-word command does the trainer give after the dog drops the first disc to urge it toward the next throw?",12,16,0.9375,0.2421,15,0,1,1.7262,0.15708,0.3963,0.2887,0.9091,0,0
"After the dodgeball game that concludes with the announcement “WKU wins 8-0,” the player interviewed afterward represents which team?",89,16,0.9375,0.2421,15,0,1,1.857,0.15708,0.3963,0.4195,0.8083,0,0
Which two ingredients must be soaked together in water for half an hour before their thick juice is extracted for the sweet chaat?,67,16,0.9375,0.2421,15,0,1,1.6812,0.15425,0.3927,0.2437,0.6452,0,0
"During the repeated bathroom demonstrations that follow the initial purple-wall introduction, what color is the liquid soap bottle the person uses between wetting and scrubbing their hands?",31,16,0.9375,0.2421,15,0,1,1.8402,0.15301,0.3912,0.4027,0.8834,0,0
Which object is shown in the opening New Year’s Giveaway graphic and later sits beside the man as he speaks on the couch?,31,16,0.9375,0.2421,15,0,1,1.89,0.14602,0.3821,0.4525,0.9429,0,0
Which piece of fitness equipment is first analyzed via performance graphs on a laptop and subsequently ridden by a man in a bright orange floral shirt while a colleague checks a tablet?,117,16,0.9375,0.2421,15,0,1,1.9508,0.14483,0.3806,0.5133,0.8613,0,0
What color is the handheld mirror the woman consults while applying white cream to her face after earlier testing the St. Ives tube on her hand?,111,16,0.9375,0.2421,15,0,1,1.7922,0.14432,0.3799,0.3547,0.7487,0,0
"After the outdoor monument scene where a lone figure raises a long staff toward the sky, which sport is shown being played on the grassy field next?",58,16,0.9375,0.2421,15,0,1,1.8058,0.14379,0.3792,0.3683,1.0,0,0
Which brand is shown both on the sign held by spectators behind the hedge and on the banners or tents beside the beach volleyball court later in the video?,53,16,0.9375,0.2421,15,0,1,1.772,0.14357,0.3789,0.3345,0.7376,0,0
"After noting the 19.08 mm micrometer reading, what objects does the person place on each side of the brake disc before measuring again with the slide caliper?",57,16,0.9375,0.2421,15,0,1,1.7452,0.14109,0.3756,0.3077,0.6584,0,0
"After Sarin's initial studio introduction of the EX-79 elliptical, which certification logo is later shown during the slide-based special-features section?",55,16,0.9375,0.2421,15,0,1,1.7058,0.13824,0.3718,0.2683,0.7522,0,0
Which logo first emerges from the abstract concentric-circle animation and later appears on the presenter’s computer screen during his desk talk?,66,16,0.9375,0.2421,15,0,1,1.7337,0.13757,0.3709,0.2962,0.6575,0,0
"After the boy in a red cap and blue number-7 jersey silently watches the lacrosse action from outside the fenced field, what ambition is revealed in the following text frames?",25,16,0.9375,0.2421,15,0,1,1.8104,0.13749,0.3708,0.3729,0.8,0,0
"What common prop first glows under red-purple lighting in an early dim scene, resurfaces spinning in a split-screen with bikini-clad performers, and is finally manipulated in multiples by a numbered woman kneeling onstage near the end?",124,16,0.9375,0.2421,15,0,1,2.1758,0.13682,0.3699,0.7695,0.8962,0,0
What kind of animal gently nudges the sleeping athlete in bed before he later appears practicing slacklining outdoors?,63,16,0.9375,0.2421,15,0,1,1.8341,0.13126,0.3623,0.3966,0.8773,0,0
"After the red glowing line completes revealing the metallic word ""MITO,"" what slogan is displayed alongside the MITOX brand logo in the following segment of the video?",85,16,0.9375,0.2421,15,0,1,1.791,0.13079,0.3616,0.3535,0.6522,0,0
Which cowboy is the first to rope and tie a calf once the video shifts from the fan-membership promotion to live arena action?,5,16,0.9375,0.2421,15,0,1,1.6658,0.1297,0.3601,0.2283,0.8235,0,0
"After the text announcing ""Laura's Birthday Beach Volleyball"" appears at the start, which type of trees does the camera reveal lining the horizon as it pans across the beach?",94,16,0.9375,0.2421,15,0,1,1.8477,0.12932,0.3596,0.4102,0.8,0,0
"What is the small ball, first examined by a woman, later shown alone on grass, and balanced on a hurley by the man in sunglasses called?",99,16,0.9375,0.2421,15,0,1,1.7858,0.12871,0.3588,0.3483,0.6957,0,0
"After the metal tool is slid across the shingles during inspection, what subsequently interacts directly with the roof to lift and point out damaged areas?",100,16,0.9375,0.2421,15,0,1,1.8549,0.12856,0.3585,0.4174,0.8175,0,0
"While the woman climbs and her partner below manages the safety rope, which recreational structure stands visible in the background, indicating a family-friendly setting?",19,16,0.9375,0.2421,15,0,1,1.7906,0.12748,0.357,0.3531,1.0,0,0
"After the opening pole-vault sequence, which particular athletic implement becomes the main focus of the ensuing outdoor discussions and demonstrations?",32,16,0.9375,0.2421,15,0,1,1.8464,0.12591,0.3548,0.4089,0.7497,0,0
What color is the bicycle that the rider uses both when jumping the suburban dirt mound and later balancing along the beachside concrete ledge?,62,16,0.9375,0.2421,15,0,1,1.9545,0.12494,0.3535,0.517,0.8814,0,0
Which state's name is displayed on banners in both the initial high-platform dive scene and the later one-meter springboard competition sequence?,86,16,0.9375,0.2421,15,0,1,2.0652,0.12346,0.3514,0.6277,0.9518,0,0
"During the indoor arena sequence where blue-uniformed drummers march into a precise formation, which country's flags do the accompanying bearers wave in sync?",14,16,0.9375,0.2421,15,0,1,1.6115,0.12314,0.3509,0.174,0.6233,0,0
